No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
2118	商務部發言人稱，當前，世界經濟發展不確定、不穩定因素增多，單邊主義、貿易保護主義抬頭，多邊貿易體制面臨嚴峻挑戰，正常的國際經貿活動受到負面幹擾。	3.429	5.167	0.495	0.373	news
2753	首局火腿靠保送和安打攻佔滿壘，接著中田翔打成三壘方向滾地球造成雙殺，不過帶有1分打點，下一棒王柏融在首打席選到四壞球保送，下一棒渡?諒飛球被接殺，結束此局。	4.714	5.286	0.452	1.385	news
1577	另外，從美國駐利比亞使館遇襲案的調查結果看來，開打在北非國家的分支與其他武裝組織呈現出來的是另一個新面貌的恐怖主義，不見得受到巴基斯坦的開打組織高層控制，但卻極端反美。	4.625	5.750	0.696	0.829	political
1177	如果政府有意發展電競產業，網友「BigOld」希望「無感官員不要外行充內行，又只把經費消耗掉，得到自己利益，又沒做出績效成果。	3.444	4.429	0.831	1.4	news
2800	一路走來經歷不少跌跌撞撞，總是倔強的她吃了不少苦頭，談過幾段失敗的感情也曾與親近的家人激烈爭吵，走到今日，終於淬煉出能笑看世事，又不失風骨的大S，徐熙媛。	7.000	4.400	0.756	1.497	news
554	預定的是商務標間，由於客滿，酒店給我們免費升到了高級商務標間。	7.000	5.429	0.0	0.728	hotel
271	現在也覺得收穫挺大。	6.667	4.857	0.471	0.99	book
437	你們可是成了潛在的傷人/殺人犯。	2.444	5.857	1.066	1.125	car
2082	早在2017年1月，美國聯邦貿易委員會就指控高通通過一些不公平的競爭行為來維繫其在全球智慧手機晶片市場的主導地位。	3.500	5.143	0.5	0.99	news
1559	西拉伊特認定，安迪（AndiAzhar）所言反映印尼廣泛存在的一種觀點，即性暴力是正常現象。	3.667	4.571	0.816	0.495	news
1383	正義妹表示，當時聽到樓梯間有人呼救，衝出查看，赫見婦人與持刀歹徒僵持，當下只想要救人。	5.111	4.600	1.449	0.49	news
2316	有研究顯示，吃比較多飽和脂肪食物會影響記憶力，例如肥肉、皮層、雞油、豬油，還有全脂奶品，以及部分植物油，例如椰子油和棕櫚油。	4.375	2.889	0.484	1.728	news
699	客人來過都表示氣味難聞，很尷尬。	3.000	5.000	0.0	0.756	hotel
989	端莊耐看，不會過時，配置足夠，物超所值。	6.875	5.222	0.599	0.916	laptop
743	酒店裏的服務態度超差，餐廳裏的服務員的素質就更差，當時我一個人去吃飯，看見菜單上寫的酸菜魚是8塊，當時還告訴了服務員我就一個人，心想一個人正好，又點了其他的菜，誰知道付錢的時候告訴我酸菜魚是35元的，錢倒是其次的，明知道我一個人，還一個勁鼓吹他們燒的多好吃，鬱悶！	2.333	6.714	0.667	1.03	hotel
1244	與會的解放軍退役少將潘振強隨即怒斥，穀內「粗暴、狂妄、顛倒黑白、混淆是非」。	3.375	6.571	0.857	1.178	news
1409	在金牌獎作品中，大會另選出十五項特別獎，臺灣獲得五項，包括最佳發明獎、最佳青年發明獎、最佳人氣獎、最佳能源發明獎及最佳新技術獎。	6.222	4.750	0.916	1.479	news
2651	過去幾周，多位GooglePixel3a智慧機使用者爆料其遭遇了軟體方面的問題，甚至會隨機發生手機熄火的故障。	3.444	5.000	0.685	1.563	news
244	六歲時，唐優優開始口吃，這令他自卑又孤單。	3.000	5.857	0.0	1.245	book
570	感謝您選擇入住西湖四季酒店。	6.375	4.250	0.696	0.829	hotel
200	看到有人評論這本書恐怖，覺得言重了，其實這只是訓練人正面思維的一種方法，有人評論在公司受到不公正對待也能不抱怨？試想，如果你的思維夠積極，對人對正的想法都足夠正面，你的思想就會對別人產生一定的影響，任何人都需要別人用正確的態度對待自已，包括你的上司，老闆，他們也是人。	4.778	4.714	0.786	1.161	book
2495	被檢察官起訴，違反兒少性剝削防制條例的吳姓男子，不只喊冤還說，把寄養的孩子都當成自己的，不想傷害孩子。	3.750	5.143	0.968	0.639	news
54	該小說的確沒有藝術可言，對於追求精緻閱讀的人，看網絡版足夠了。	4.778	4.000	0.629	0.816	book
1874	臺灣吸引的外資只勝過非洲安哥拉，連臺灣選出的總統都只想當中國人，國本日漸動搖；過去投票給馬的人應該面壁思過、道歉，民進黨也要深切檢討，爭取更多人的認同。	3.125	6.000	0.331	0.707	political
1534	當老師是一個工作穩定的鐵飯碗，縱使她大學聯考的分數能輕易上臺大外文係，自己對社會、心理等科系也比較有興趣，仍敵不過父母的期盼而填選師大，走上教書的路。	4.556	5.286	1.257	1.385	news
2923	中國家用電器協會副理事長徐東生表示，目前市場正處於低潮期，整體行業都在承受消費需求銳減的陣痛，企業也在積極尋找新的需求點。	4.286	3.714	0.7	1.278	news
2499	據韓國SBS、ChannelA等媒體報導，勝利在本月14日的拘捕令審查中首次承認了買春嫌疑，但對貪汙等其他嫌疑仍然堅持否認。	3.500	4.000	0.5	1.0	news
2250	研究人員發現，將監禁期間無能力犯罪的情況考慮在內，曾入獄服刑的人在被判決後5年內再次被逮捕/定罪的概率有輕微的下降。	6.000	4.857	0.0	0.833	news
623	他們有免費機場接送服務，第一次聽說這種服務，不錯，好像打車要40多塊呀注意到酒店設有機場售票處，3分鐘搞定機票，方便！	6.625	6.125	0.696	0.781	hotel
1018	幫朋友買的，她猶豫了七八天，終於在18日下定決心，3299，用了張2000-100的券	5.500	4.714	0.5	1.161	laptop
803	吃得我們撐死~哈哈地理位置也比較好，就在繁華的文昌路上	5.556	6.000	1.066	0.816	hotel
1625	人卻缺乏勞動保障，政院擬定的《長照服務法》並未納入外勞，讓臺灣的長期照護系統依然建立在外勞的血汗勞動上；此外，外籍看護工幾乎沒有休假，亟需喘息服務，但《家事服務法》草案卻被政院冷凍近10年，呼籲政府應該解決問題。	4.000	4.333	1.247	1.247	political
1	愛情，如此完美卻又失落，皖雅的結局，苦澀卻又實際地描繪了宮廷女子悲婉的一生。	3.750	3.000	0.829	1.0	book
934	網路，這些網路點可能是惡意連結，攔截用戶設備和合法伺服器兼的訊息傳遞。	4.222	4.286	0.786	1.485	laptop
987	電腦工程師很專業和有效率，及時幫我排除了一些難題。	6.889	5.250	0.567	1.09	laptop
1218	「有冤報冤，有仇報仇，誰殺你們就找誰報仇！	2.375	7.667	1.111	0.943	news
2659	美國政府官方披露關於UFO的資訊一直很少，從而導致各種陰謀論滋生且經常被指責掩蓋事實，美國空軍基地第五十一區事件更是令民眾對UFO充滿好奇。	5.000	4.625	0.667	1.728	news
2674	彰銀經營權官司，臺新指財政部違約，導致臺新喪失彰銀經營權，高院判決臺新為彰銀最大股東時，財政部應支援臺新指派過半董事。	4.333	5.000	0.471	1.195	news
823	謝謝您長期以來對我酒店的關心和支持，我酒店即將申報四星級酒店，我們在硬體的改造的同時，軟件服務上也加強和提升，爭取讓每一位賓客都滿意。	6.714	4.286	0.452	0.881	hotel
2428	Zotac將於近日開展的Computex，正式推出GAMINGGeForceGTX1650窄版顯示卡，造福機殼空間受限的玩家。	6.500	4.500	0.5	1.732	news
2500	這家科技巨頭與紐約大學和加利福尼亞大學聖地亞哥分校的研究人員合作，進行了為期一年的關於防止賬戶劫持的基本安全措施有效性的研究。	6.333	3.167	0.471	1.951	news
157	最早接觸寂地畫是在《新蕾》上，後來滿心歡喜的買了她的第一本畫集《我的路1》很喜歡那種溫暖的畫風，也很喜歡配畫的文字，很細膩，有哲理，讓人感覺溫馨。	7.000	5.250	0.0	0.968	book
1777	除了我族以外，其他人的自由都要經過我的審查才行幹他媽的死學匪走出立院一定會死得很難看阿	2.444	6.857	0.831	0.35	political
1601	要求政府把事情做對（Justdoitright），不算過分，應該也沒有那麼難！	4.625	6.100	0.484	0.943	political
748	房間比較老舊，電梯果然如網友評價非常慢，所謂2003新裝修實際只是大掃除一下。	3.143	4.556	0.35	1.066	hotel
87	我一直相信，關於生存技能的書籍每一個人都應該看一看。	5.778	4.000	0.786	0.926	book
1343	死者朋友：「男生一直不讓女生走，就是以暴力威脅跟騷擾對方家人，她女子)有叫我幫她，如果有怎樣趕快去救她，所以我就有先報警。	3.000	5.625	0.5	1.317	news
2925	之後兩組人都將手放入攝氏5度的凍水1分鐘，再填寫問卷匯報痛覺感受，發現獲贈假止痛膏的一組，疼痛感比較低，顯示只是擁有止痛膏，已可以產生心理作用。	5.000	3.300	0.816	1.847	news
630	早上連他們那所謂的早餐也不想去吃了.	3.429	4.429	0.904	0.904	hotel
326	那為啥國外會用新的引擎，而不用舊的？難道外國人比較喜歡嚐鮮？還是說比較喜歡解決問題？舊車殼也沒啥不好，為啥要換？又不是每個人都是大畫家，對於美感都非常重視...XP也沒啥不好，為啥要出Vista？說穿了，這就是人性...大家都對新的事物會比較好奇...而且會推出新的產品，一定有比舊的產品在某些部份有更進步的地方，不然就不用花費大量研發成本，去推出新產品了，就一直用舊的就好啦，廠商也樂的輕鬆...	4.667	6.000	1.054	0.926	car
1372	職棒球員表示，許文雄當時獲悉遭判賠違約金100萬元，曾表示尊重法院裁決沒有任何意見，但也顯示他無奈的心情和失意。	3.125	4.750	0.927	1.199	news
1655	雖然馬已拒絕召開國是會議，民進黨前主席蔡英文仍舊有所期盼。	5.333	5.000	0.471	0.756	political
1814	這次事情有因為死刑的存在而遏止了案件的發生嗎？反而恰恰相反。	3.667	6.125	1.155	0.781	political
1684	國民黨有一堆博士是事實，但這些博士總統、博士部長、博士縣市長是不是人才，卻值得懷疑。	3.111	5.857	0.567	0.99	political
1116	說錯話而傷害朋友的感情，讓他很傷心。	3.500	5.429	0.5	0.904	news
53	但對異地戀失敗的人，是一杯溫水，可以灌溉貌似枯死的愛的能力。	5.556	5.167	1.066	0.373	book
1079	救護員沒有隨身護具，宜避免正面衝突及閃躲車上，通知警方到場處理才妥適。	5.000	4.750	1.0	1.09	news
1608	在這種情況下，美國又採取軟硬兼施的兩手策略，一方面，美國宣稱美國在中日釣魚臺爭端中不選邊站，不充當釣魚臺爭端的調停人，希望中日以和平手段解決釣魚臺問題。	4.875	5.143	0.599	1.125	political
1478	電玩選手贏得國際競賽冠軍，對於電競選手有激勵作用，並期盼政府能協助電競發展，以及帶頭扭轉社會對遊戲產業的負面印象。	5.143	4.429	1.807	1.178	news
2237	Dell在幾個月前推出的新款XPS13收穫了頗多的好評，但如果你對筆記本的需求不僅僅滿足於傳統的樣式，那還有沒有更適合的選擇呢？	5.889	3.222	0.875	1.931	news
499	請恕小弟無知問一個疑惑已久的問題...既然GTR那麼厲害，為何中裡毅會輕易的被帝王隊的板凳球員清次打敗?	4.111	5.667	0.875	0.471	car
2054	害怕退休的人也不少，尤其如果是非自願退休，職場繁華瞬間落幕，若未做好準備，所有考驗迎面而來，加上生活失去重心，憂鬱症就可能來襲。	3.667	4.444	0.471	1.707	news
2324	一項新的研究揭示了兩種相對簡單的方法可用於欺騙大腦成像測謊儀，它使用功能性MRI機器而不是傳統的測謊儀系統。	4.667	3.833	0.471	1.067	news
2787	我們要保持戰略定力，堅持問題導向，因勢利導、統籌謀劃、精準施策，在防範化解重大矛盾和突出問題上出實招硬招，推動改革更好服務經濟社會發展大局。	6.429	5.500	0.495	1.225	news
1724	在芝加哥，我看到美國的美好前景。	6.444	5.571	0.685	0.904	political
2000	真的讓人笑掉大牙無知還大聲說給人聽台灣農業在WTO後就死了真的是全趴	2.889	6.125	1.197	0.927	political
1476	臺灣遊戲選手再度揚威海外，遊戲業者表示，臺灣遊戲人才豐沛，但社會對遊戲業的負面觀感，讓電競產業發展受限，希望政府帶頭正名並給予協助，幫助電競產業與國際接軌。	6.444	5.714	0.685	0.452	news
2876	何俊賢說，雖然政府表示荃灣屠房仍然開放，但據行業瞭解，截至下午私人擁有的荃灣屠房仍未有決定屠宰活豬，連累本港安全的豬場。	4.000	5.250	0.0	0.433	news
338	謝謝熱心朋友你們的關心與建議。	6.000	3.833	0.667	0.687	car
2162	18歲的時候，在加拿大西蒙弗雷澤大學的第一年末，他突然感到膝蓋疼痛異常，一天早上他甚至疼得都不能站起來。	2.625	5.000	0.484	0.667	news
1981	但是不判死刑的前提是，原判死刑的兇手要終身監禁不得假釋。	3.778	5.200	1.03	1.166	political
1412	國三生獲最佳青年發明獎現年十四歲的最小參展者、臺中居仁國中三年級學生林定宏，以「智慧型電風扇」獲頒最佳青年發明獎。	6.333	4.556	0.667	1.165	news
1380	去年2月1日，塞德港爆發足球暴動，當時地主隊擊敗勁旅開羅隊，導致雙方球迷持械鬥毆，一共造成74死的慘劇，還有上千人受傷。	2.625	3.857	0.696	1.959	news
2885	臺南一名蔡小姐一直想擁有健美感的密桃臀，看到醫美診所打出廣告決定一試，沒想到術後大腿卻浮腫、產生硬塊，還感染蜂	3.000	5.000	0.667	1.155	news
714	9月30日我給朋友（從德國來湖南打算去張家界）預訂了2間房1晚，第2天早上結帳時服務員硬說房間少了1個衣架，我朋友只好上去6樓看，結果是服務員數錯了。	4.111	4.429	0.875	1.178	hotel
900	運氣非常好，完美屏，沒有亮點暗點壞點.	6.889	6.125	0.737	0.781	laptop
2323	從需求端來看，一線和新一線城市聚集了大量的年輕人，他們工作節奏快，生活壓力大，對食物的需求，除了果腹和營養均衡，還逐漸衍生出便捷以及更多健康的需求。	5.125	3.100	0.599	1.375	news
2654	訊息發出後，粉絲反應強烈，截至5月27日下午，B站動態評論過萬、點贊超過5萬，且已有玩家打趣表示公司出的遊戲，員工哪有出錢才能玩的道理。	5.143	5.571	0.833	0.904	news
2585	對於近日手機民調爭議，賴清德今受訪時表示，過去民調有嚴謹科學根據，若貿然轉為手機民調，是否有辦法完整代表整個真正的民意。	4.714	4.111	0.452	1.792	news
2459	這是玩家tomatoanus在異塵餘生系列速通領域的一次挑戰，全程僅僅耗時28分鐘，並且達成了世界紀錄。	7.500	5.500	0.5	1.658	news
281	哈哈這跟這主題有關嗎?	4.250	5.333	0.661	0.745	book
143	其實不是我能忽悠，是書確實好，營銷學上講，把好的新產品推銷出去，叫營銷，把不好的產品推銷出去，叫騙銷，我是把好的產品介紹給朋友，共同受益，顯然不應在騙銷之列。	4.667	4.143	1.054	1.457	book
2055	近期好價，有需要的值友可以入手~本款雨衣採用EVA耐磨面料，無味半透明，經久耐穿，防風擋雨，帽子帶有防風加固帽繩，帽子不易被風掛亂，適合雨天步行外出時穿著。	6.429	5.167	0.495	1.675	news
2605	中國被指在新疆大規模關押和監控維吾爾人，聯合國一個人權小組報告更指，有高達一百萬維吾爾人可能被非法關押。	2.700	5.444	1.187	1.165	news
167	希望更多的老師看看王老師的書，仔細的想一下應該如何教孩子學習而不是灌鴨式的教授知識，讓孩子真正的愛上學習！	6.571	5.857	0.728	0.833	book
620	希望其他要入住該酒店的客人要對其價格從各種管道，各時間段認真覈對，才下訂單。	4.571	5.000	0.495	0.816	hotel
29	張老先生的愛情理念是建立在女性獨立及兩性平等的基礎之上的，張老先生生命中的那些獨立自由、勇敢追求愛情的女性是多麼可愛啊！	6.600	5.500	0.49	1.323	book
2139	近日，PatentlyMobile挖出了三星的新款摺疊屏智慧機專利，預示該公司有望克服GalaxyFold的既有缺陷。	5.667	3.667	1.054	1.247	news
1454	「我不怕鬼，很怕蛇，但又喜歡看蛇，只要有關蛇的，我都喜歡看。	5.667	4.750	0.816	0.829	news
2317	這個世界上很多人都知道羅本在右邊路用左腳快速觸球之後的計劃，然而能跟得上步伐或者不被甩開的人，少之又少。	5.000	3.889	0.707	1.969	news
2604	然而，在中美經貿談判中，美方卻誠意不足、居心叵測，動輒揮舞關稅大棒、一再進行極限施壓，妄圖靠施壓迫使中方接受漫天要價。	3.571	4.714	0.495	1.161	news
967	優點多多，不一一贅述，主要是速度，製作工藝，堅固性和品牌偏好度。	6.333	5.600	0.943	1.02	laptop
2012	PHP7.4目前正在積極開發中，準備新增到該版本的新特性包括短閉包、自定義物件序列化、FFI與擴充套件運運算元等。	5.778	3.667	0.629	1.826	news
2533	愛你不是兩三年幽幽玫瑰香，手留餘香，清新怡人~天貓加帝耶旗艦店目前售價49元，使用30元優惠券，實付19元包郵到手，單買好價，感興趣的值友們可關注下~	5.625	5.000	0.696	1.414	news
435	不知對不對，有錯請指出，謝謝^^	5.556	4.375	0.956	1.218	car
1549	報導稱，該《指示》要求全軍和武警部隊緊緊圍繞能打仗、打勝仗的目標	4.875	5.000	0.599	0.756	news
2222	一項新的研究分析了不同型別的飲食，並揭示了它們與那種癌症最密切相關，例如沒有食用足夠的水果和蔬菜被認為與口腔癌相關性更高。	4.667	2.833	0.943	1.572	news
120	個人覺得這套書合適小學低年級小朋友閱讀，幼兒園的小朋友可能需要家長陪同閱讀，對大人和小孩來講都非常長知識，非常不錯，贊一個!	6.750	5.286	0.433	0.7	book
2445	不過也是有副作用的，長時間使用容易長骨剌，為了吃零食要冒肌肉痠痛或是半邊麻痺的風險也是要好好考慮一下的。	3.375	5.000	0.696	1.247	news
154	認真的讀每一個字。	5.375	4.429	0.484	1.05	book
1522	另外就讀國立羅東高商資料處理科三年級的潘姿穎同學也是來自單親家庭，基於教育體制及課程的調整，她無法使用學長姐留給她的教科書，於是她申請獎助學金以減輕教科書的支出，她感謝羅許基金會提供的獎助學金，讓她在求學過程獲得最實質的幫助。	6.375	4.667	0.696	1.106	news
1250	記者會過程，臺聯立委林世嘉等和臺大醫院創傷醫學部主任柯文哲也到了現場，柯文哲接受媒體訪問時批評說，法務部越描越黑。	3.500	4.857	0.5	1.457	news
2095	幾周前，MicrosoftEdgeforMac的第一個版本被洩露，今天，該應用程式收到了它的第一個更新。	4.857	3.000	0.833	1.309	news
2645	雖然Linux社群在Windows系統的失誤中茁壯成長，也吸引越來越多的人嘗試使用基於Linux的發行版本，給人一種欣欣向榮的景象。	6.625	5.000	0.484	1.069	news
1013	上網文字處理這些就不說了，集成的聲卡質量比以前用的R61有所下降，音量倒是夠，顯卡略微有些不足，但低配能達到這個效果還是滿足了。	5.222	4.875	0.786	0.781	laptop
1087	調查也發現，9成4偏鄉弱勢童不曾接觸英文雜誌，甚至有2成5偏鄉弱勢童寫不完26個英文字母；相較近半數優勢學童平均一週補習兩科以上，6成8偏鄉弱勢童完全沒有補習，因此7成偏鄉弱勢童擔心升國中後課業跟不上，甚至有2成4弱勢童不想再升學。	2.667	5.000	0.471	0.926	news
2455	我們不會忘記，中興通訊及其三家關聯公司也是在2016年被美國列入實體名單進而於2018年被美國啟用拒絕令，受到了慘重的打擊。	3.667	4.200	0.471	0.748	news
2899	糖尿病剛開始可以透過藥物、飲食控制及減重等方式治療，若不好好控制，體內負責分泌胰島素的胰島細胞失靈，就得長期倚賴注射胰島素了。	3.556	5.667	0.685	0.667	news
1243	日本首相安倍晉三的外交智囊谷內正太郎20日表示，中國以「武力威脅」對釣魚臺日稱尖閣諸島)提出主權要求，破壞國際規則。	4.000	5.286	1.069	0.7	news
70	但是要注意一點，水喝多了是好，但問題是什麼樣的水纔對身體有好處。	5.556	4.500	0.685	1.323	book
2046	一些人跑到事主家中對父親執行私刑，即便後來員警緩衝了當天的怒民，隔天，人們居然把怒氣轉嫁至肉圓店的老闆娘身上。	3.286	6.000	0.452	0.756	news
2383	1934年，售價200多美元的福特ModelT在美國暢銷多年時，大部分德國人甚至一輛自行車都負擔不起，更別說當時德國只生產昂貴車型。	3.875	3.222	0.331	1.812	news
801	還算有優點，就是服務員的態度不錯。	6.250	4.714	0.829	0.7	hotel
2236	在這樣一個地方，市場份額或移動技術的?變不只是理論上對顛覆進行討論那樣簡單，而是可能對一個社群造成致命一擊。	3.875	6.000	0.599	0.756	news
2261	據TechSpot網站報道，像Roku、AppleTV和亞馬遜FireTV這樣的智慧電視服務比以往更受歡迎，不難看出原因。	6.000	4.500	0.0	1.732	news
1526	但是若真的把孩子的玩具沒收，孩子卻哭鬧得更兇，這時候就不要理他，要是他再鬧，就再沒收其他的。	3.889	6.333	0.875	0.745	news
762	太差，根本不夠四星級。	2.600	5.571	1.2	0.728	hotel
1661	國民黨立委陳根德12日在立法院會中要求行政院長陳沖對是否要特赦前總統陳水扁一事表態，儘管陳沖強調，特赦是總統的職權，不過在陳根德再三逼問下，陳沖說，「是可以讓對立的氣氛和緩」；這句話，讓陳水扁的兒子陳致中13日在臉書上發文感謝，強調「陳院長一席話，讓我很感動、很感謝」。	5.889	4.889	0.875	1.197	political
396	請先準備200萬HONDA的引擎好~說真的沒開過~有機會真想試看看我想主要還是口袋深度才是決定一切吧NEWALTIS個人覺得還不錯~雙安四碟ABS動力足夠日常使用~保養也不錯~	6.125	6.000	0.781	1.118	car
2895	正是有了愛國主義這樣一面旗幟，才有瞭如此多無私的愛國者、大無畏的犧牲者，才有了五千年文明不曾中斷的泱泱大國和歷盡磨難卻屹立不倒、生生不息的偉大民族。	7.000	6.429	0.667	1.178	news
739	呵，還有一大優勢就是從賓館出發，步行不到十分鐘就可以到梅蘭芳故居等等，京味小衚衕，北海距離好近呢。	6.667	5.750	0.667	0.433	hotel
2774	由於山高坡陡，植被茂密，風力風向多變，火場多處復燃，撲打較為困難，內蒙古森林消防總隊正在積極調集力量，繼續向火場投送兵力。	3.250	5.250	0.968	1.639	news
1325	校方指出，方小弟平常最喜歡熱鬧，因此很期待本週六運動會的到來。	6.778	5.250	0.629	0.433	news
2128	和現代大多數作業系統對Unicode支援的共識不同，它的API不是基於UTF-8而是基於UTF-16的，且還遺留了一套過去對ANSI支援的相容API。	5.000	2.875	0.0	1.763	news
389	正面對撞結果現代車引擎蓋只凹一半，駕駛幾乎沒受傷vios好像連駕駛艙都完全潰縮駕駛就夾死在裡面你看看你看看假如低於標準的安全性，還可以販售有可能就是一個車廠是否尊重生命的表現	3.625	6.250	0.696	0.433	car
992	有攝像頭和麥克風，可以直接進行視頻聊天，讀卡器，能相容市面上常見的卡，整體性能非常好	6.500	4.143	0.866	0.99	laptop
